,Country/Region,Continent,Lat,Long,TotalCases,TotalDeaths,TotalRecovered,Date
278,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-21
279,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-22
280,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-23
281,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-24
282,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-25
283,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-26
284,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-27
285,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-28
286,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-29
287,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-04-30
288,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-01
289,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-02
290,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-03
291,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-04
292,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-05
293,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-06
294,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-07
295,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-08
296,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-09
297,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-10
298,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-11
299,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-12
300,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-13
301,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-14
302,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-15
303,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-16
304,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-17
305,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-18
306,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-19
307,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-20
308,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-21
309,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-22
310,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-23
311,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-24
312,India,Asia,20.593684,78.96288,2025409,41638.0,1377384.0,2020-05-25
